transaction_id,account_id,customer_id,transaction_type,amount,currency,balance_after,merchant_name,merchant_category,description,status,initiated_at,completed_at,channel,reference_number,failure_reason,notes
TXN-2026-000001,ACC-100001,CUST-B001,CREDIT,3200.00,USD,5678.95,Employer Payroll,PAYROLL,Bi-weekly salary deposit,COMPLETED,2026-03-07 08:00:00,2026-03-07 08:00:00,ACH,REF-2026-AA001,,Regular payroll deposit
TXN-2026-000002,ACC-100001,CUST-B001,PAYMENT,312.45,USD,5366.50,Digital Bank Loans,FINANCIAL_SERVICES,Personal loan monthly payment — LOAN-2023-0001,COMPLETED,2026-03-01 09:00:00,2026-03-01 09:00:00,ONLINE,REF-2026-AA002,,Auto-pay enabled for loan
TXN-2026-000003,ACC-100001,CUST-B001,DEBIT,45.99,USD,5234.50,Walmart,GROCERY,Grocery shopping,COMPLETED,2026-03-15 14:22:00,2026-03-15 14:22:00,POS,REF-2026-AA003,,
TXN-2026-000004,ACC-100002,CUST-B001,CREDIT,500.00,USD,12800.00,Alice Johnson,TRANSFER,Auto-transfer from checking ACC-100001,COMPLETED,2026-03-01 09:05:00,2026-03-01 09:05:00,SYSTEM,REF-2026-AA004,,Monthly auto-save transfer
TXN-2026-000005,ACC-100003,CUST-B002,CREDIT,12500.00,USD,28450.00,Consulting Client LLC,WIRE,Invoice payment INV-2026-0042,COMPLETED,2026-03-10 11:15:00,2026-03-10 11:30:00,WIRE,REF-2026-BB001,,Incoming wire from consulting client
TXN-2026-000006,ACC-100003,CUST-B002,DEBIT,3200.00,USD,25250.00,Bay Area Properties,RENT,Monthly rent — March 2026,COMPLETED,2026-03-01 08:00:00,2026-03-01 08:00:00,ONLINE,REF-2026-BB002,,Auto-pay rent
TXN-2026-000007,ACC-100003,CUST-B002,DEBIT,350.00,USD,24900.00,The Grand Restaurant,RESTAURANT,Dinner charge 2026-02-28,DISPUTED,2026-02-28 20:45:00,,POS,REF-2026-BB003,,Customer disputes this charge — claims never visited. Case CASE-2026-0005.
TXN-2026-000008,ACC-100003,CUST-B002,CREDIT,350.00,USD,28450.00,Dispute Resolution,FINANCIAL_SERVICES,Provisional credit for disputed TXN-2026-000007,REVERSED,2026-03-10 10:00:00,2026-03-10 10:00:00,SYSTEM,REF-2026-BB004,,Chargeback provisional credit issued pending investigation
TXN-2026-000009,ACC-100005,CUST-B002,CREDIT,10000.00,USD,125000.00,Robert Chen,TRANSFER,Transfer from checking to money market,COMPLETED,2026-03-05 10:00:00,2026-03-05 10:00:00,ONLINE,REF-2026-BB005,,Investment allocation
TXN-2026-000010,ACC-100006,CUST-B003,DEBIT,28.50,USD,1895.45,Starbucks,RESTAURANT,Coffee purchase,COMPLETED,2026-03-10 08:30:00,2026-03-10 08:30:00,POS,REF-2026-CC001,,Normal transaction before fraud
