event_time,machine_id,health_score,anomaly_score,edge_alert_flag,vibration_rms_x,vibration_rms_y,vibration_rms_z,window_minutes
2025-06-24 08:05:00,M02,92.69,0.0452,false,1.0578,1.0956,1.1733,5
2025-06-24 08:10:00,M02,92.51,0.046,false,1.0796,1.0844,1.1782,5
2025-06-24 08:15:00,M02,92.79,0.0419,false,1.0481,1.131,1.1386,5
2025-06-24 08:20:00,M02,92.98,0.0436,false,1.0416,1.1182,1.1419,5
2025-06-24 08:25:00,M02,92.96,0.0461,false,1.0585,1.1066,1.1382,5
2025-06-24 08:30:00,M02,93.19,0.0287,false,1.0667,1.0841,1.133,5
2025-06-24 08:35:00,M02,92.69,0.0338,false,1.0831,1.0995,1.144,5
2025-06-24 08:40:00,M02,92.65,0.0456,false,1.055,1.1175,1.1577,5
2025-06-24 08:05:00,M01,84.72,0.0359,false,0.983,0.9971,1.0511,5
2025-06-24 08:10:00,M01,84.44,0.0428,false,0.934,1.0095,1.0346,5
2025-06-24 08:15:00,M01,84.16,0.0503,false,0.9384,1.0004,1.0538,5
2025-06-24 08:20:00,M01,83.88,0.046,false,0.9527,0.9878,1.0518,5
2025-06-24 08:05:00,M03,98.6,0.0505,false,0.8801,0.9282,1.012,5
2025-06-24 08:10:00,M03,97.76,0.0488,false,0.9035,0.9609,1.0272,5
2025-06-24 08:15:00,M03,98.05,0.0413,false,0.9336,0.9465,0.9873,5
2025-06-24 08:20:00,M03,98.31,0.0427,false,0.908,0.9501,0.9865,5
