event_time,machine_id,axis,vibration_rms,vibration_peak,unit
2025-06-24 08:00:00,M01,x,0.9442,1.3573,mm/s
2025-06-24 08:00:00,M01,y,0.9931,1.4019,mm/s
2025-06-24 08:00:00,M01,z,1.0449,1.8245,mm/s
2025-06-24 08:00:00,M02,x,0.9901,1.3302,mm/s
2025-06-24 08:00:00,M02,y,1.0913,1.538,mm/s
2025-06-24 08:00:00,M02,z,1.1546,1.7927,mm/s
2025-06-24 08:00:00,M03,x,0.9263,1.5052,mm/s
2025-06-24 08:00:00,M03,y,0.9544,1.5008,mm/s
2025-06-24 08:00:00,M03,z,1.0099,1.7216,mm/s
2025-06-24 08:01:00,M01,x,1.0024,1.3064,mm/s
2025-06-24 08:01:00,M01,y,1.0213,1.5014,mm/s
2025-06-24 08:01:00,M01,z,0.9931,1.3682,mm/s
2025-06-24 08:01:00,M02,x,1.0849,1.4607,mm/s
2025-06-24 08:01:00,M02,y,1.0904,1.4702,mm/s
2025-06-24 08:01:00,M02,z,1.1813,2.0124,mm/s
2025-06-24 08:01:00,M03,x,0.8555,1.4243,mm/s
2025-06-24 08:01:00,M03,y,0.8452,1.2587,mm/s
2025-06-24 08:01:00,M03,z,0.9757,1.5377,mm/s
2025-06-24 08:02:00,M01,x,0.9766,1.6904,mm/s
2025-06-24 08:02:00,M01,y,0.9512,1.5111,mm/s
2025-06-24 08:02:00,M01,z,1.0491,1.4834,mm/s
2025-06-24 08:02:00,M02,x,1.0382,1.4999,mm/s
2025-06-24 08:02:00,M02,y,1.1255,1.52,mm/s
2025-06-24 08:02:00,M02,z,1.164,1.675,mm/s
2025-06-24 08:02:00,M03,x,0.8749,1.2993,mm/s
2025-06-24 08:02:00,M03,y,0.9213,1.2942,mm/s
2025-06-24 08:02:00,M03,z,0.99,1.6078,mm/s
2025-06-24 08:03:00,M01,x,1.0434,1.6742,mm/s
2025-06-24 08:03:00,M01,y,1.0307,1.4241,mm/s
2025-06-24 08:03:00,M01,z,1.1106,1.6545,mm/s
2025-06-24 08:03:00,M02,x,1.1071,1.7475,mm/s
2025-06-24 08:03:00,M02,y,1.0962,1.8003,mm/s
2025-06-24 08:03:00,M02,z,1.1881,1.6806,mm/s
2025-06-24 08:03:00,M03,x,0.8423,1.1085,mm/s
2025-06-24 08:03:00,M03,y,0.9374,1.3175,mm/s
2025-06-24 08:03:00,M03,z,1.0289,1.8226,mm/s
2025-06-24 08:04:00,M01,x,0.9748,1.5867,mm/s
2025-06-24 08:04:00,M01,y,0.9756,1.4613,mm/s
2025-06-24 08:04:00,M01,z,1.0931,1.5658,mm/s
2025-06-24 08:04:00,M02,x,1.0273,1.4622,mm/s
2025-06-24 08:04:00,M02,y,1.0711,1.7055,mm/s
2025-06-24 08:04:00,M02,z,1.1383,1.9908,mm/s
2025-06-24 08:04:00,M03,x,0.8773,1.5781,mm/s
2025-06-24 08:04:00,M03,y,0.9666,1.5028,mm/s
2025-06-24 08:04:00,M03,z,1.0105,1.3691,mm/s
2025-06-24 08:05:00,M01,x,0.9567,1.5438,mm/s
2025-06-24 08:05:00,M01,y,1.0109,1.3463,mm/s
2025-06-24 08:05:00,M01,z,1.0158,1.5144,mm/s
2025-06-24 08:05:00,M02,x,1.0991,1.9625,mm/s
2025-06-24 08:05:00,M02,y,1.0988,1.9014,mm/s
2025-06-24 08:05:00,M02,z,1.2137,1.9915,mm/s
2025-06-24 08:05:00,M03,x,0.9046,1.4189,mm/s
2025-06-24 08:05:00,M03,y,0.944,1.2799,mm/s
2025-06-24 08:05:00,M03,z,1.0569,1.6037,mm/s
2025-06-24 08:06:00,M01,x,0.855,1.4859,mm/s
2025-06-24 08:06:00,M01,y,1.0284,1.4724,mm/s
2025-06-24 08:06:00,M01,z,1.0324,1.8132,mm/s
2025-06-24 08:06:00,M02,x,1.0499,1.8218,mm/s
2025-06-24 08:06:00,M02,y,1.0829,1.7375,mm/s
2025-06-24 08:06:00,M02,z,1.2045,1.6579,mm/s
2025-06-24 08:06:00,M03,x,0.9039,1.527,mm/s
2025-06-24 08:06:00,M03,y,0.9003,1.4091,mm/s
2025-06-24 08:06:00,M03,z,1.0354,1.3561,mm/s
2025-06-24 08:07:00,M01,x,0.9501,1.6765,mm/s
2025-06-24 08:07:00,M01,y,1.0546,1.5331,mm/s
2025-06-24 08:07:00,M01,z,1.0066,1.3377,mm/s
2025-06-24 08:07:00,M02,x,1.1198,1.5037,mm/s
2025-06-24 08:07:00,M02,y,1.0328,1.5936,mm/s
2025-06-24 08:07:00,M02,z,1.2113,2.0385,mm/s
2025-06-24 08:07:00,M03,x,0.9285,1.2667,mm/s
2025-06-24 08:07:00,M03,y,0.9001,1.2894,mm/s
2025-06-24 08:07:00,M03,z,1.0078,1.7498,mm/s
2025-06-24 08:08:00,M01,x,0.9256,1.4529,mm/s
2025-06-24 08:08:00,M01,y,1.0128,1.6863,mm/s
2025-06-24 08:08:00,M01,z,1.0704,1.9241,mm/s
2025-06-24 08:08:00,M02,x,1.083,1.7598,mm/s
2025-06-24 08:08:00,M02,y,1.0553,1.4357,mm/s
2025-06-24 08:08:00,M02,z,1.1683,1.65,mm/s
2025-06-24 08:08:00,M03,x,0.872,1.2339,mm/s
