event_time,machine_id,axis,vibration_rms,vibration_peak,unit
2025-06-24 08:00:00,M02,x,0.9901,1.3302,mm/s
2025-06-24 08:00:00,M02,y,1.0913,1.538,mm/s
2025-06-24 08:00:00,M02,z,1.1546,1.7927,mm/s
2025-06-24 08:01:00,M02,x,1.0849,1.4607,mm/s
2025-06-24 08:01:00,M02,y,1.0904,1.4702,mm/s
2025-06-24 08:01:00,M02,z,1.1813,2.0124,mm/s
2025-06-24 08:00:00,M01,x,0.9442,1.3573,mm/s
2025-06-24 08:00:00,M01,y,0.9931,1.4019,mm/s
2025-06-24 08:00:00,M01,z,1.0449,1.8245,mm/s
2025-06-24 08:00:00,M03,x,0.9263,1.5052,mm/s
2025-06-24 08:00:00,M03,y,0.9544,1.5008,mm/s
2025-06-24 08:00:00,M03,z,1.0099,1.7216,mm/s
